ν,LD-Alanina No Magnetizada Irradiada Petri,LD-Alanina No Magnetizada  Eppendorf,LD-Alanina Magnetizada Irradiada Petri,LD-Alanina Magnetizada  Eppendorf,LD-Alanina Irradiada No Magnetizada Eppendorf,LD-Alanina Irradiada Magnetizada Eppendorf,LD-Alanina  No Magnetizada Petri,LD-Alanina  Magnetizada Petri,L-Alanina No Magnetizada Irradiada Petri,L-Alanina No Magnetizada  Eppendorf,L-Alanina Magnetizada Petri,L-Alanina Magnetizada Irradiada Petri,L-Alanina Magnetizada Eppendorf,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina Irradiada  Magnetizada Eppendorf,L-Alanina  No Magnetizada Petri,D-Alanina No Magnetizada Irradiada Petri,D-Alanina No Magnetizada Eppendorf,D-Alanina Magnetizada Irradiada Petri,D-Alanina Magnetizada Eppendorf,D-Alanina Irradiada No Magnetizada Eppendorf,D-Alanina Irradiada Magnetizada Eppendorf,D-Alanina  No Magnetizada Petri,D-Alanina  Magnetizada Petri
3939.0,99.696279,98.202533,97.348786,97.960454,98.020398,97.937861,97.065183,97.660874,98.069167,97.964471,98.108307,98.141614,98.385543,97.89124,98.432573,99.26075,98.484842,98.412794,98.61074,98.19591,97.599843,98.604987,98.072604,97.673241
3938.0,99.68452,98.201819,97.342749,97.957192,98.021109,97.934963,97.060586,97.658097,98.054534,97.959826,98.09686,98.132181,98.39145,97.888054,98.43359,99.251178,98.48,98.412504,98.60376,98.188861,97.599667,98.600033,98.069923,97.669677
3937.0,99.673592,98.192575,97.339094,97.958737,98.017916,97.932599,97.057945,97.653771,98.04735,97.955231,98.085317,98.127005,98.395995,97.885809,98.434167,99.246022,98.47251,98.417761,98.594561,98.182863,97.599572,98.591966,98.065431,97.670247
3936.0,99.671992,98.178778,97.337842,97.962936,98.013467,97.929161,97.057535,97.64708,98.047824,97.950528,98.077772,98.128974,98.398224,97.88555,98.433382,99.248266,98.466152,98.427812,98.587132,98.180826,97.59948,98.585033,98.061906,97.671709
3935.0,99.680063,98.16547,97.335994,97.964818,98.011488,97.923915,97.057669,97.63705,98.051564,97.946156,98.074437,98.134556,98.396554,97.887926,98.43123,99.255003,98.461915,98.436721,98.582323,98.183519,97.598778,98.583002,98.059435,97.668327
3934.0,99.690437,98.156839,97.330979,97.960865,98.012504,97.917978,97.056469,97.625456,98.05386,97.942395,98.072623,98.136647,98.389087,97.891931,98.428987,99.259336,98.457273,98.437597,98.57726,98.189185,97.596934,98.58568,98.055223,97.65776
3933.0,99.695231,98.155024,97.323891,97.951587,98.01291,97.913372,97.052911,97.616686,98.053851,97.938874,98.069584,98.131609,98.375699,97.89535,98.427709,99.255967,98.449578,98.429421,98.569388,98.194748,97.59437,98.588932,98.046349,97.643934
3932.0,99.692177,98.159381,97.319015,97.940831,98.008724,97.911072,97.046706,97.614809,98.054878,97.93558,98.064738,98.123177,98.359744,97.896609,98.426935,99.245623,98.440017,98.418346,98.560356,98.198055,97.592715,98.588627,98.033883,97.633821
3931.0,99.684342,98.166891,97.319752,97.933253,97.999535,97.910013,97.038755,97.621122,98.060491,97.933971,98.060221,98.118378,98.346634,97.896023,98.425615,99.234669,98.433132,98.411895,98.554372,98.199405,97.593181,98.584537,98.023954,97.632159
3930.0,99.676154,98.173753,97.325199,97.931765,97.988619,97.908622,97.030653,97.633378,98.069941,97.935819,98.058514,98.120627,98.340552,97.894813,98.423806,99.23031,98.431857,98.412504,98.553557,98.200408,97.595421,98.580133,98.022736,97.638565
3929.0,99.670487,98.176607,97.330579,97.935477,97.980838,97.907212,97.02239,97.645665,98.077632,97.940473,98.058242,98.127633,98.342074,97.893819,98.422557,99.235302,98.434409,98.416678,98.556628,98.201456,97.59881,98.579376,98.029481,97.647489
3928.0,99.667598,98.173587,97.330738,97.940027,97.979482,97.907723,97.012597,97.651588,98.07719,97.944077,98.054232,98.133769,98.348121,97.893194,98.422475,99.246344,98.43677,98.419321,98.561131,98.201129,97.603078,98.583479,98.036213,97.651777
3927.0,99.665541,98.165507,97.323895,97.941154,97.983718,97.911133,97.001845,97.649968,98.066754,97.942547,98.043024,98.133386,98.354236,97.892819,98.42307,99.257044,98.437331,98.417551,98.565466,98.198622,97.607333,98.590084,98.035256,97.647956
3926.0,99.662922,98.155228,97.313172,97.938464,97.989008,97.915729,96.993986,97.646383,98.051134,97.935806,98.027375,98.124178,98.357517,97.893137,98.423255,99.262138,98.438086,98.411803,98.569252,98.19606,97.609714,98.595313,98.026182,97.63845
3925.0,99.661995,98.145865,97.304529,97.936423,97.990238,97.917576,96.993435,97.648141,98.038732,97.928667,98.014445,98.110438,98.358384,97.894312,98.421694,99.261279,98.441207,98.405276,98.573354,98.197482,97.608556,98.596947,98.01649,97.629159
3924.0,99.666124,98.139866,97.302289,97.940104,97.98585,97.913794,97.000851,97.656355,98.034995,97.926397,98.008934,98.101052,98.359769,97.894943,98.417287,99.259134,98.445587,98.402218,98.578864,98.205336,97.604092,98.595964,98.014508,97.623821
3923.0,99.673735,98.138161,97.306684,97.949733,97.978622,97.905674,97.013073,97.664328,98.038639,97.929655,98.010414,98.101417,98.363994,97.893105,98.41042,99.260698,98.447802,98.404606,98.584997,98.217703,97.597768,98.594698,98.021659,97.62167
3922.0,99.678672,98.139566,97.315384,97.961199,97.972253,97.897707,97.027348,97.665353,98.043626,97.934482,98.017484,98.108574,98.370037,97.887818,98.403232,99.267701,98.445388,98.409457,98.589258,98.229106,97.589936,98.594119,98.033414,97.621213
3921.0,99.678172,98.141693,97.326176,97.970378,97.969619,97.894181,97.042569,97.659474,98.04429,97.936518,98.029304,98.115776,98.373902,97.879851,98.398065,99.278377,98.438672,98.411647,98.591067,98.234541,97.580535,98.594081,98.044832,97.62309
3920.0,99.677507,98.143331,97.3377,97.975679,97.972741,97.896299,97.057246,97.652374,98.039476,97.934297,98.042936,98.119569,98.372314,97.871405,98.395384,99.289102,98.430617,98.410012,98.593685,98.233356,97.570943,98.594676,98.053455,97.628693
3919.0,99.684094,98.145155,97.348409,97.977071,97.981933,97.901982,97.068136,97.648909,98.033025,97.929043,98.052675,98.121059,98.366312,97.86487,98.393267,99.295943,98.425549,98.408307,98.600662,98.229686,97.563936,98.595787,98.058262,97.636895
3918.0,99.697831,98.147587,97.356073,97.974479,97.993985,97.908069,97.072335,97.648638,98.030319,97.922555,98.054876,98.121552,98.360289,97.861251,98.389342,99.296268,98.426812,98.409792,98.609965,98.228509,97.561038,98.595332,98.058366,97.643798
3917.0,99.711045,98.149527,97.35909,97.968407,98.003481,97.9128,97.070324,97.647649,98.033896,97.916476,98.051856,98.120449,98.357481,97.859814,98.383416,99.290454,98.434365,98.413472,98.614313,98.230833,97.56114,98.590208,98.053999,97.64635
3916.0,99.717664,98.150528,97.358271,97.961173,98.007853,97.916765,97.065459,97.643026,98.042158,97.913103,98.048686,98.117656,98.357725,97.859851,98.378129,99.281781,98.444672,98.416681,98.608331,98.233351,97.562635,98.580073,98.047415,97.645191
3915.0,99.718568,98.152443,97.356642,97.956086,98.009546,97.921556,97.060887,97.635443,98.051332,97.914799,98.047783,98.115051,98.359719,97.861817,98.376901,99.274012,98.453234,98.418729,98.593888,98.232298,97.565423,98.568766,98.041706,97.64411
