ν	LD-Alanina No Magnetizada  Eppendorf	LD-Alanina Magnetizada  Eppendorf	LD-Alanina  No Magnetizada Petri	LD-Alanina  Magnetizada Petri	L-Alanina No Magnetizada  Eppendorf	L-Alanina Magnetizada Petri	L-Alanina Magnetizada Eppendorf	L-Alanina  No Magnetizada Petri	D-Alanina No Magnetizada Eppendorf	D-Alanina Magnetizada Eppendorf	D-Alanina  No Magnetizada Petri	D-Alanina  Magnetizada Petri
3897.0	98.169449	97.980136	97.084946	97.703533	97.918332	98.146457	98.388472	99.267384	98.437549	98.174608	98.054215	97.677795
3896.0	98.176391	97.971986	97.078968	97.710495	97.924738	98.137607	98.390338	99.264698	98.437671	98.180188	98.059606	97.680877
3895.0	98.185142	97.965474	97.075086	97.712248	97.933834	98.128117	98.393757	99.268016	98.443194	98.195201	98.068576	97.679472
3894.0	98.189564	97.96019	97.072254	97.706191	97.943249	98.117262	98.398448	99.270196	98.451316	98.210245	98.076678	97.670855
3893.0	98.187686	97.954865	97.071785	97.692156	97.951153	98.106851	98.405811	99.265984	98.457019	98.217332	98.078599	97.656368
3892.0	98.182505	97.951549	97.077616	97.676459	97.957215	98.104365	98.41504	99.258371	98.45391	98.214915	98.074296	97.643695
3891.0	98.179325	97.954989	97.090998	97.669452	97.961982	98.116293	98.420642	99.256915	98.441044	98.208919	98.071068	97.642214
3890.0	98.180531	97.964401	97.106355	97.672477	97.965247	98.136656	98.417635	99.265035	98.427785	98.206304	98.07333	97.653664
3889.0	98.183645	97.973096	97.115677	97.676976	97.965031	98.151872	98.407779	99.275417	98.424474	98.208742	98.078344	97.671811
3888.0	98.184925	97.97513	97.113606	97.676068	97.959606	98.152568	98.398464	99.277686	98.43038	98.213065	98.0811	97.687485
3887.0	98.182619	97.970097	97.102248	97.672721	97.951563	98.141045	98.395653	99.267222	98.437213	98.214182	98.078626	97.693851
3886.0	98.178201	97.965089	97.092567	97.676786	97.947281	98.130376	98.397902	99.251067	98.439261	98.209112	98.073507	97.690493
3885.0	98.176589	97.96919	97.095009	97.693115	97.950086	98.130643	98.398135	99.244766	98.439305	98.201151	98.073467	97.683623
3884.0	98.182593	97.982384	97.108651	97.713778	97.956864	98.138146	98.393979	99.256767	98.446761	98.196953	98.081932	97.680411
3883.0	98.195578	97.995598	97.123213	97.726734	97.962825	98.144398	98.392477	99.279491	98.464199	98.199058	98.093868	97.68403
3882.0	98.209134	97.999951	97.128177	97.727181	97.967115	98.146898	98.402045	99.296141	98.480453	98.20419	98.100992	97.692522
3881.0	98.215662	97.994113	97.119658	97.719574	97.972283	98.148888	98.421941	99.293992	98.482643	98.207942	98.09834	97.700401
3880.0	98.212655	97.985192	97.101001	97.713055	97.979553	98.152145	98.440628	99.27515	98.46976	98.209394	98.088725	97.70228
3879.0	98.204975	97.980838	97.079699	97.713567	97.987037	98.153212	98.446111	99.254151	98.454591	98.20997	98.080471	97.698236
3878.0	98.198018	97.981367	97.062335	97.717689	97.992566	98.14732	98.436845	99.242634	98.450852	98.209042	98.079443	97.692301
3877.0	98.193573	97.983669	97.052764	97.719181	97.996301	98.135166	98.42067	99.242704	98.458959	98.204842	98.087384	97.68809
3876.0	98.192508	97.987027	97.053264	97.717842	98.000926	98.124099	98.406708	99.250008	98.469466	98.198607	98.101336	97.687317
3875.0	98.194718	97.994298	97.064903	97.720387	98.008873	98.124417	98.399493	99.258987	98.4751	98.195067	98.114198	97.691111
3874.0	98.197462	98.008039	97.083877	97.732334	98.018338	98.138913	98.398345	99.267388	98.477059	98.19918	98.120053	97.699487
3873.0	98.199098	98.024322	97.100762	97.749236	98.023602	98.156425	98.400989	99.276233	98.483792	98.212585	98.118296	97.709801
3872.0	98.201839	98.03258	97.107225	97.758842	98.019889	98.162983	98.406205	99.284826	98.499421	98.231248	98.111573	97.718012
3871.0	98.207659	98.026412	97.104769	97.754874	98.007845	98.16107	98.412372	99.289257	98.514084	98.245748	98.10434	97.723746
3870.0	98.214571	98.013282	97.102319	97.744727	97.992957	98.167874	98.415779	99.287078	98.513313	98.247343	98.102033	97.730692
3869.0	98.219593	98.005974	97.102848	97.736565	97.98065	98.187175	98.413432	99.279783	98.497371	98.236411	98.10522	97.738577
3868.0	98.223653	98.007942	97.102209	97.728551	97.973093	98.202516	98.407865	99.27062	98.482006	98.222252	98.108745	97.742715
3867.0	98.229439	98.01413	97.098176	97.717833	97.970246	98.201492	98.405392	99.263278	98.47542	98.214015	98.110332	97.741115
3866.0	98.234898	98.017019	97.092403	97.707225	97.972537	98.187837	98.408945	99.259285	98.470351	98.213206	98.110581	97.735591
3865.0	98.232242	98.011615	97.088322	97.700344	97.979915	98.173507	98.414593	99.255729	98.46	98.212896	98.10753	97.729356
3864.0	98.217107	98.000949	97.087756	97.696945	97.988747	98.166679	98.41595	99.249848	98.447342	98.206592	98.099472	97.724956
3863.0	98.195367	97.994343	97.089621	97.69566	97.994317	98.166868	98.41194	99.244347	98.440223	98.196908	98.090459	97.723634
3862.0	98.179079	97.998345	97.093611	97.699346	97.996746	98.170493	98.408308	99.246563	98.443719	98.192639	98.089423	97.726855
3861.0	98.175564	98.009462	97.10004	97.710705	98.000166	98.173899	98.410571	99.260703	98.456273	98.199047	98.10046	97.734033
3860.0	98.182172	98.016876	97.107317	97.726481	98.006131	98.174653	98.417149	99.281268	98.472145	98.213636	98.115497	97.741125
3859.0	98.188852	98.013778	97.113305	97.741576	98.010666	98.175599	98.420644	99.29667	98.484093	98.228532	98.12047	97.744784
3858.0	98.186655	98.005065	97.117689	97.754939	98.008259	98.183685	98.41425	99.299746	98.486826	98.237598	98.109015	97.74613
3857.0	98.17471	98.002244	97.120019	97.767552	97.997129	98.199593	98.397506	99.293704	98.481325	98.24121	98.088947	97.748389
3856.0	98.160358	98.010026	97.117392	97.774711	97.981512	98.209711	98.378162	99.286948	98.474691	98.243049	98.074679	97.751551
3855.0	98.15149	98.019584	97.109629	97.768213	97.96935	98.199369	98.368153	99.280677	98.473516	98.240501	98.073358	97.751652
3854.0	98.150016	98.025215	97.110384	97.756036	97.96281	98.186402	98.369959	99.27161	98.473174	98.223161	98.086887	97.752115
3853.0	98.15332	98.033178	97.121717	97.754407	97.953283	98.195136	98.36962	99.264368	98.462757	98.193312	98.115467	97.756618
3852.0	98.158104	98.038699	97.122632	97.756507	97.935009	98.208461	98.358888	99.260699	98.450012	98.169216	98.141356	97.7584
3851.0	98.160213	98.030213	97.105468	97.74691	97.914443	98.204297	98.34685	99.254566	98.449849	98.160437	98.143799	97.754452
3850.0	98.160178	98.012786	97.08543	97.73107	97.90345	98.191024	98.346915	99.249062	98.455996	98.166312	98.12847	97.752491
3849.0	98.164283	97.998545	97.07794	97.722289	97.910168	98.183975	98.366625	99.252194	98.458775	98.18398	98.1128	97.757357
3848.0	98.177939	97.994469	97.088124	97.725461	97.932638	98.188219	98.400199	99.266941	98.461212	98.207866	98.108114	97.766801
3847.0	98.199044	97.99911	97.109793	97.735232	97.960938	98.198287	98.433101	99.287663	98.468178	98.23	98.114028	97.77437
3846.0	98.218522	98.00583	97.131819	97.744729	97.985906	98.20652	98.454171	99.304728	98.478128	98.243463	98.122988	97.77594
3845.0	98.227946	98.008325	97.146344	97.752203	98.004482	98.208778	98.460437	99.312294	98.485387	98.246168	98.128127	97.773245
3844.0	98.226034	98.00478	97.151116	97.759188	98.017569	98.205471	98.454884	99.311348	98.486186	98.241873	98.126907	97.770694
3843.0	98.216476	97.998195	97.147135	97.765727	98.024984	98.199889	98.442417	99.305847	98.481165	98.235695	98.119543	97.770519
3842.0	98.204883	97.993846	97.137097	97.770654	98.023927	98.196181	98.42784	99.29933	98.474931	98.229926	98.108237	97.772375
3841.0	98.196273	97.9941	97.123887	97.772643	98.012025	98.19554	98.415302	99.292659	98.472419	98.224004	98.095214	97.773513
3840.0	98.193588	97.996936	97.111196	97.770975	97.992278	98.195127	98.408008	99.283798	98.475786	98.216877	98.082246	97.770622
3839.0	98.19795	98.000295	97.104956	97.766738	97.974457	98.191503	98.40795	99.271982	98.484359	98.209396	98.073213	97.764167
3838.0	98.208801	98.004999	97.10989	97.76193	97.968423	98.184575	98.414968	99.260831	98.495607	98.205149	98.072853	97.75927
3837.0	98.222044	98.011655	97.124913	97.758099	97.975935	98.178138	98.427022	99.254961	98.506003	98.206555	98.081074	97.760592
