ν	LD-Alanina Magnetizada Irradiada Petri	LD-Alanina Magnetizada  Eppendorf	LD-Alanina Irradiada Magnetizada Eppendorf	LD-Alanina  Magnetizada Petri	L-Alanina Magnetizada Petri	L-Alanina Magnetizada Irradiada Petri	L-Alanina Magnetizada Eppendorf	L-Alanina Irradiada  Magnetizada Eppendorf	D-Alanina Magnetizada Irradiada Petri	D-Alanina Magnetizada Eppendorf	D-Alanina Irradiada Magnetizada Eppendorf	D-Alanina  Magnetizada Petri
3846.0	97.439963	98.00583	97.998942	97.744729	98.20652	98.184452	98.454171	98.450764	98.60838	98.243463	98.599583	97.77594
3845.0	97.451035	98.008325	98.005314	97.752203	98.208778	98.19107	98.460437	98.457599	98.615509	98.246168	98.605207	97.773245
3844.0	97.451453	98.00478	98.008265	97.759188	98.205471	98.189413	98.454884	98.46689	98.613642	98.241873	98.609027	97.770694
3843.0	97.44238	97.998195	98.009942	97.765727	98.199889	98.181255	98.442417	98.477597	98.60796	98.235695	98.610265	97.770519
3842.0	97.427191	97.993846	98.013193	97.770654	98.196181	98.171301	98.42784	98.488789	98.604433	98.229926	98.608639	97.772375
3841.0	97.410458	97.9941	98.019194	97.772643	98.19554	98.161719	98.415302	98.499447	98.604502	98.224004	98.604822	97.773513
3840.0	97.39807	97.996936	98.027321	97.770975	98.195127	98.149517	98.408008	98.507886	98.604704	98.216877	98.600594	97.770622
3839.0	97.395126	98.000295	98.035339	97.766738	98.191503	98.133417	98.40795	98.511714	98.602312	98.209396	98.598243	97.764167
3838.0	97.401468	98.004999	98.040454	97.76193	98.184575	98.119823	98.414968	98.509349	98.599073	98.205149	98.598863	97.75927
3837.0	97.410917	98.011655	98.040892	97.758099	98.178138	98.11819	98.427022	98.501875	98.599022	98.206555	98.601054	97.760592
3836.0	97.416977	98.017311	98.037178	97.755586	98.175658	98.130892	98.441916	98.492346	98.603819	98.211598	98.602693	97.766304
3835.0	97.417851	98.018496	98.031063	97.754995	98.177583	98.151058	98.457266	98.483503	98.61118	98.216722	98.603263	97.769826
3834.0	97.415367	98.015215	98.023195	97.757093	98.181969	98.16812	98.469289	98.476568	98.615891	98.221463	98.603934	97.766686
3833.0	97.411393	98.009799	98.013641	97.760012	98.18612	98.174967	98.473221	98.472118	98.613142	98.227892	98.6058	97.757667
3832.0	97.406675	98.004508	98.003707	97.760709	98.188919	98.172663	98.466599	98.471069	98.603439	98.235864	98.608208	97.747762
3831.0	97.401938	98.000123	97.996007	97.758617	98.190455	98.16879	98.452607	98.473809	98.593578	98.241116	98.609292	97.742209
3830.0	97.398558	97.995285	97.992538	97.755036	98.190035	98.169695	98.43944	98.478538	98.590328	98.238809	98.607666	97.742579
3829.0	97.397502	97.988991	97.992732	97.75215	98.187885	98.175508	98.436073	98.481494	98.594106	98.228235	98.60317	97.74787
3828.0	97.398286	97.98276	97.995013	97.752662	98.187201	98.180475	98.446306	98.480358	98.598423	98.214326	98.596776	97.756613
3827.0	97.3991	97.97923	97.99989	97.758168	98.191304	98.178298	98.463797	98.477608	98.596438	98.203024	98.590713	97.766133
3826.0	97.397348	97.979488	98.008622	97.767591	98.197859	98.167766	98.474093	98.478436	98.587861	98.195194	98.587849	97.772833
3825.0	97.390582	97.981404	98.01931	97.776268	98.197197	98.153268	98.465741	98.484589	98.57864	98.1873	98.590315	97.774178
3824.0	97.378355	97.980416	98.026773	97.7775	98.17952	98.139576	98.440625	98.491906	98.574406	98.178119	98.597917	97.770058
3823.0	97.364454	97.972052	98.027508	97.766886	98.146639	98.127883	98.415579	98.494998	98.575652	98.171465	98.606894	97.762949
3822.0	97.357462	97.958881	98.023166	97.749383	98.121524	98.115553	98.411235	98.493103	98.577305	98.171911	98.609673	97.758643
3821.0	97.363301	97.952711	98.019216	97.738765	98.129643	98.103788	98.431227	98.490042	98.576331	98.179591	98.60226	97.760973
3820.0	97.376702	97.958358	98.020235	97.74115	98.163056	98.099533	98.457236	98.489732	98.57585	98.190059	98.591055	97.765009
3819.0	97.38773	97.966095	98.025209	97.748788	98.192988	98.104779	98.468607	98.492692	98.578409	98.197426	98.584604	97.764624
3818.0	97.392751	97.967569	98.028882	97.75371	98.206343	98.113847	98.460234	98.495434	98.583106	98.199418	98.58516	97.761246
