ν,LD-Alanina No Magnetizada Irradiada Petri,LD-Alanina No Magnetizada  Eppendorf,LD-Alanina Irradiada No Magnetizada Eppendorf,LD-Alanina  No Magnetizada Petri,L-Alanina No Magnetizada Irradiada Petri,L-Alanina No Magnetizada  Eppendorf,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina  No Magnetizada Petri,D-Alanina No Magnetizada Irradiada Petri,D-Alanina No Magnetizada Eppendorf,D-Alanina Irradiada No Magnetizada Eppendorf,D-Alanina  No Magnetizada Petri
3849.0,99.613704,98.164283,98.018572,97.07794,98.100874,97.910168,97.913597,99.252194,98.487694,98.458775,97.621041,98.1128
3848.0,99.615666,98.177939,98.028406,97.088124,98.118,97.932638,97.923563,99.266941,98.490382,98.461212,97.627328,98.108114
3847.0,99.622128,98.199044,98.035953,97.109793,98.129928,97.960938,97.92698,99.287663,98.493737,98.468178,97.633721,98.114028
3846.0,99.626069,98.218522,98.042032,97.131819,98.132575,97.985906,97.926199,99.304728,98.49499,98.478128,97.638695,98.122988
3845.0,99.621576,98.227946,98.044586,97.146344,98.126409,98.004482,97.92411,99.312294,98.493853,98.485387,97.640556,98.128127
3844.0,99.607881,98.226034,98.040968,97.151116,98.114569,98.017569,97.922098,99.311348,98.491901,98.486186,97.639999,98.126907
3843.0,99.590674,98.216476,98.032421,97.147135,98.10052,98.024984,97.921177,99.305847,98.489801,98.481165,97.639681,98.119543
3842.0,99.577521,98.204883,98.02351,97.137097,98.08751,98.023927,97.921852,99.29933,98.486426,98.474931,97.640605,98.108237
3841.0,99.571602,98.196273,98.019312,97.123887,98.078331,98.012025,97.924089,99.292659,98.48086,98.472419,97.64213,98.095214
3840.0,99.570103,98.193588,98.022626,97.111196,98.075309,97.992278,97.927888,99.283798,98.474796,98.475786,97.644223,98.082246
3839.0,99.569375,98.19795,98.032051,97.104956,98.079686,97.974457,97.93242,99.271982,98.471807,98.484359,97.648416,98.073213
3838.0,99.568166,98.208801,98.042838,97.10989,98.089997,97.968423,97.936183,99.260831,98.474006,98.495607,97.655704,98.072853
3837.0,99.567894,98.222044,98.049716,97.124913,98.101882,97.975935,97.938543,99.254961,98.479798,98.506003,97.663545,98.081074
3836.0,99.57138,98.230926,98.051128,97.143578,98.111131,97.990959,97.941213,99.254357,98.486007,98.512335,97.668022,98.091362
3835.0,99.580717,98.230989,98.049759,97.158792,98.117163,98.005907,97.946385,99.254831,98.491294,98.512533,97.667665,98.097516
3834.0,99.594234,98.2243,98.048425,97.166087,98.122527,98.015659,97.953589,99.254033,98.495641,98.505813,97.663382,98.099851
3833.0,99.606554,98.216536,98.047814,97.163807,98.129111,98.018267,97.960274,99.253623,98.497846,98.492958,97.656995,98.102728
3832.0,99.613048,98.211452,98.047389,97.154189,98.135661,98.014398,97.963761,99.256906,98.495401,98.476417,97.6504,98.109358
3831.0,99.613382,98.209522,98.047226,97.143182,98.138971,98.006817,97.962624,99.264982,98.487192,98.46095,97.64536,98.118976
3830.0,99.610908,98.209723,98.048109,97.136234,98.136944,97.999577,97.957749,99.274174,98.475416,98.452335,97.642641,98.12707
3829.0,99.608878,98.212059,98.049529,97.135501,98.130814,97.997316,97.950909,99.27923,98.464989,98.453177,97.640973,98.130319
3828.0,99.606231,98.218856,98.049178,97.13998,98.124747,98.003754,97.943405,99.27884,98.461262,98.460874,97.638628,98.130144
3827.0,99.598042,98.230339,98.04592,97.146706,98.121987,98.018066,97.937055,99.276132,98.466405,98.469673,97.636553,98.129746
3826.0,99.580259,98.241114,98.0414,97.15276,98.120875,98.032828,97.934139,99.274828,98.476607,98.475498,97.637473,98.129838
3825.0,99.55329,98.243815,98.038536,97.155525,98.115447,98.038243,97.935717,99.275457,98.484249,98.478891,97.64222,98.127701
3824.0,99.52188,98.235653,98.039099,97.150877,98.100933,98.029967,97.940539,99.27492,98.484106,98.481617,97.648502,98.12037
3823.0,99.496006,98.220271,98.042686,97.135351,98.079647,98.014249,97.946134,99.268771,98.477774,98.482571,97.653145,98.107436
3822.0,99.488364,98.205273,98.044532,97.115462,98.062807,98.003786,97.950149,99.257244,98.472966,98.479017,97.652938,98.094246
3821.0,99.50444,98.196882,98.039896,97.10464,98.061525,98.003824,97.949284,99.24974,98.474732,98.469026,97.649167,98.091215
3820.0,99.535646,98.196134,98.033442,97.106889,98.074767,98.005963,97.943707,99.25334,98.478916,98.457684,97.648957,98.098865
3819.0,99.567281,98.199627,98.03332,97.117614,98.093829,97.999674,97.940741,99.261942,98.479971,98.454668,97.654252,98.104868
3818.0,99.588425,98.202805,98.041128,97.132902,98.111964,97.985642,97.945088,99.267075,98.478533,98.458644,97.659235,98.104306
3817.0,99.59775,98.203819,98.05246,97.149915,98.126245,97.976399,97.953491,99.267088,98.480071,98.46231,97.658802,98.104134
3816.0,99.606238,98.203953,98.06341,97.164004,98.136683,97.982177,97.959561,99.265296,98.488799,98.464645,97.655611,98.111006
3815.0,99.623803,98.206599,98.075022,97.169181,98.144131,97.998321,97.960788,99.264615,98.501808,98.469092,97.657646,98.122228
3814.0,99.645614,98.213886,98.087821,97.164717,98.148096,98.011733,97.960569,99.26429,98.511561,98.478632,97.66695,98.1296
3813.0,99.658347,98.222825,98.096903,97.156816,98.147087,98.01582,97.961719,99.263017,98.513416,98.489565,97.677475,98.130672
3812.0,99.654304,98.227618,98.09607,97.152727,98.140447,98.015057,97.962197,99.262462,98.507676,98.495792,97.683306,98.13026
3811.0,99.637395,98.225228,98.084503,97.155449,98.129922,98.016666,97.959551,99.264596,98.497708,98.499315,97.683715,98.131915
3810.0,99.618066,98.217881,98.067422,97.162508,98.120083,98.020806,97.954066,99.268296,98.488242,98.505288,97.680772,98.134196
3809.0,99.603835,98.210916,98.051323,97.167601,98.116409,98.021339,97.947419,99.269638,98.484007,98.5109,97.675421,98.133717
3808.0,99.595893,98.207539,98.038224,97.166119,98.121093,98.014286,97.940087,99.26663,98.487535,98.506353,97.666424,98.130283
3807.0,99.59304,98.206548,98.027273,97.158621,98.130107,98.003471,97.93107,99.263079,98.497029,98.487721,97.655022,98.128167
3806.0,99.594773,98.207346,98.019014,97.149486,98.13626,97.996517,97.920482,99.264808,98.507133,98.466545,97.646006,98.130496
