ν,LD-Alanina No Magnetizada Irradiada Petri,LD-Alanina Magnetizada Irradiada Petri,LD-Alanina Irradiada No Magnetizada Eppendorf,LD-Alanina Irradiada Magnetizada Eppendorf,L-Alanina No Magnetizada Irradiada Petri,L-Alanina Magnetizada Irradiada Petri,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina Irradiada  Magnetizada Eppendorf,D-Alanina No Magnetizada Irradiada Petri,D-Alanina Magnetizada Irradiada Petri,D-Alanina Irradiada No Magnetizada Eppendorf,D-Alanina Irradiada Magnetizada Eppendorf
1000.0,100.673198,83.357516,83.019843,84.537161,75.917454,85.723701,85.408471,82.697221,85.901227,89.177016,84.50929,92.0963
999.0,100.656568,83.748142,83.512952,85.049727,77.132839,86.471595,86.301858,83.814715,86.778912,89.904894,85.408331,92.478673
998.0,100.649221,84.100434,83.935635,85.490283,78.179229,87.111551,87.071893,84.780632,87.517216,90.532538,86.179365,92.807749
997.0,100.647965,84.418791,84.309466,85.880946,79.091911,87.670993,87.744418,85.629148,88.143011,91.060729,86.846888,93.09525
996.0,100.638196,84.693145,84.642355,86.232714,79.914742,88.174147,88.333127,86.380549,88.688019,91.500493,87.430103,93.351386
995.0,100.612209,84.917048,84.932136,86.54681,80.673134,88.624927,88.845233,87.042751,89.168968,91.870786,87.944702,93.582078
994.0,100.579567,85.098342,85.178793,86.822272,81.366502,89.017917,89.287345,87.622197,89.592474,92.193398,88.401214,93.787822
993.0,100.554487,85.248163,85.387533,87.058855,81.984489,89.357388,89.668572,88.130878,89.967528,92.484799,88.804379,93.967339
992.0,100.537194,85.369846,85.564318,87.257551,82.527076,89.657532,90.001025,88.584317,90.303713,92.748813,89.157607,94.122102
991.0,100.515621,85.464839,85.715176,87.422962,83.009554,89.929834,90.297512,88.99562,90.604924,92.981339,89.46837,94.256074
990.0,100.484621,85.539796,85.846501,87.562048,83.450917,90.177547,90.565986,89.369786,90.872631,93.183767,89.746414,94.371902
989.0,100.454449,85.600536,85.960652,87.678881,83.860283,90.399969,90.805956,89.702407,91.110227,93.36572,89.99634,94.470077
988.0,100.436092,85.647025,86.055377,87.775826,84.236394,90.597697,91.013784,89.988211,91.319834,93.533409,90.216134,94.552708
987.0,100.42429,85.680741,86.13192,87.860693,84.577618,90.775272,91.192337,90.233538,91.500909,93.683694,90.405035,94.625596
986.0,100.401817,85.709021,86.198388,87.94501,84.886665,90.939753,91.352027,90.45538,91.655756,93.813313,90.569508,94.694579
985.0,100.359362,85.736183,86.261356,88.03319,85.165913,91.093967,91.50201,90.665279,91.791251,93.927099,90.719788,94.761757
984.0,100.306348,85.758969,86.321327,88.121074,85.416192,91.232526,91.644697,90.86053,91.91346,94.033157,90.863927,94.827607
983.0,100.262098,85.777428,86.380652,88.206528,85.643139,91.349913,91.778672,91.034532,92.026324,94.135184,91.005657,94.894331
982.0,100.239659,85.802117,86.447373,88.292511,85.857149,91.451658,91.900782,91.188131,92.136041,94.232361,91.142522,94.963162
981.0,100.238098,85.843577,86.525275,88.378117,86.062583,91.551018,92.005163,91.326023,92.249149,94.321956,91.264932,95.029652
980.0,100.24658,85.902172,86.607689,88.457107,86.253578,91.655073,92.087989,91.449662,92.363914,94.400147,91.363472,95.086013
979.0,100.254044,85.975194,86.687035,88.528806,86.424448,91.761049,92.155204,91.559422,92.469819,94.465707,91.439394,95.128184
978.0,100.258104,86.0667,86.763901,88.600843,86.576757,91.865673,92.218018,91.656947,92.558776,94.525216,91.50227,95.157464
977.0,100.267705,86.182342,86.84279,88.677924,86.711527,91.969358,92.278803,91.740814,92.63361,94.590186,91.556976,95.176508
976.0,100.296021,86.319583,86.927716,88.757882,86.823225,92.069731,92.329929,91.80792,92.704717,94.667474,91.601542,95.188718
975.0,100.348671,86.470579,87.026546,88.842003,86.909187,92.16018,92.36888,91.863693,92.781639,94.75614,91.63887,95.201056
974.0,100.41962,86.632002,87.148991,88.938051,86.978901,92.239108,92.404334,91.921047,92.867498,94.853277,91.678695,95.220941
973.0,100.499045,86.806646,87.292999,89.048268,87.046706,92.313613,92.44263,91.983174,92.95779,94.957064,91.723046,95.248311
972.0,100.58121,86.997688,87.442252,89.16472,87.11961,92.388837,92.478065,92.037568,93.043927,95.062579,91.760724,95.27554
971.0,100.661413,87.204586,87.584686,89.28117,87.196278,92.458205,92.502496,92.073884,93.118904,95.159518,91.782596,95.296717
970.0,100.72978,87.420874,87.725387,89.399364,87.271176,92.508812,92.515904,92.09717,93.17792,95.236491,91.792525,95.312315
969.0,100.775954,87.633196,87.874272,89.519255,87.335376,92.534366,92.521518,92.115396,93.214771,95.285795,91.796402,95.323474
968.0,100.800663,87.82727,88.030467,89.634777,87.381017,92.540322,92.518899,92.124998,93.225207,95.305553,91.790672,95.327616
967.0,100.815998,87.998692,88.187473,89.745397,87.409921,92.537722,92.508058,92.118924,93.21643,95.301204,91.77009,95.322705
966.0,100.830694,88.15446,88.344624,89.860136,87.430121,92.532313,92.492275,92.099138,93.203903,95.282657,91.737544,95.310759
965.0,100.840287,88.30265,88.503275,89.982499,87.44001,92.51848,92.470853,92.07038,93.192477,95.255143,91.697393,95.293846
964.0,100.837114,88.44704,88.65909,90.102387,87.42651,92.486231,92.437532,92.030591,93.169453,95.21593,91.647862,95.27145
963.0,100.826141,88.59357,88.808546,90.211649,87.385025,92.437048,92.39239,91.978915,93.124635,95.165434,91.589176,95.245458
962.0,100.822767,88.752443,88.957232,90.317796,87.330483,92.388596,92.346741,91.925107,93.069269,95.116146,91.530736,95.223031
961.0,100.834603,88.92757,89.112082,90.432624,87.28086,92.357327,92.30941,91.879106,93.024502,95.08054,91.480085,95.209899
960.0,100.852265,89.109907,89.270413,90.555225,87.239748,92.33918,92.27614,91.837379,92.996331,95.052113,91.431479,95.203841
959.0,100.860359,89.285533,89.424649,90.675169,87.202583,92.314852,92.238552,91.79005,92.972087,95.009008,91.374707,95.198342
958.0,100.85182,89.444135,89.572062,90.785565,87.168668,92.272547,92.194859,91.735838,92.937868,94.938023,91.30945,95.18986
957.0,100.827798,89.576848,89.712053,90.885046,87.136689,92.216588,92.145345,91.680355,92.889333,94.846293,91.242613,95.178387
956.0,100.788993,89.675942,89.840409,90.973552,87.097396,92.153003,92.08679,91.625553,92.826822,94.746957,91.177073,95.163766
955.0,100.734629,89.744599,89.954811,91.053682,87.041824,92.077384,92.019522,91.570508,92.749507,94.642094,91.110627,95.144775
954.0,100.668895,89.799773,90.060122,91.130037,86.971112,91.983322,91.951974,91.517491,92.656608,94.525313,91.040568,95.119939
953.0,100.601499,89.857259,90.160752,91.201712,86.891106,91.876992,91.890655,91.468887,92.550507,94.396642,90.963669,95.087819
952.0,100.539425,89.919123,90.254676,91.263188,86.80605,91.776154,91.833364,91.423598,92.438564,94.269116,90.879036,95.050071
951.0,100.481206,89.980792,90.342088,91.31745,86.725795,91.695451,91.778988,91.384072,92.332514,94.159833,90.796915,95.015645
950.0,100.42093,90.042612,90.431128,91.377801,86.668938,91.636437,91.735055,91.360126,92.242353,94.075759,90.735655,94.996537
