ν	LD-Alanina No Magnetizada Irradiada Petri	LD-Alanina No Magnetizada  Eppendorf	LD-Alanina Magnetizada Irradiada Petri	LD-Alanina Magnetizada  Eppendorf	LD-Alanina Irradiada No Magnetizada Eppendorf	LD-Alanina Irradiada Magnetizada Eppendorf	LD-Alanina  No Magnetizada Petri	LD-Alanina  Magnetizada Petri
3810.0	99.618066	98.217881	97.395791	98.012471	98.067422	97.996075	97.162508	97.757635
3809.0	99.603835	98.210916	97.38042	98.005216	98.051323	97.987663	97.167601	97.752542
3808.0	99.595893	98.207539	97.369812	97.997809	98.038224	97.982264	97.166119	97.747792
3807.0	99.59304	98.206548	97.367629	97.994455	98.027273	97.982676	97.158621	97.752409
3806.0	99.594773	98.207346	97.372851	97.999075	98.019014	97.989487	97.149486	97.768522
3805.0	99.599828	98.213056	97.379792	98.010524	98.015119	97.998741	97.143006	97.788166
3804.0	99.603655	98.227756	97.383806	98.024275	98.0148	98.003929	97.140208	97.803948
3803.0	99.600836	98.248989	97.385157	98.033475	98.015541	98.001684	97.138427	97.813408
3802.0	99.593067	98.264033	97.388626	98.034455	98.015036	97.994707	97.136634	97.819114
3801.0	99.589527	98.262816	97.397351	98.031932	98.014988	97.989106	97.135927	97.82573
3800.0	99.59504	98.25093	97.40777	98.028043	98.020364	97.988867	97.136485	97.829617
3799.0	99.606611	98.239561	97.414388	98.019159	98.031105	97.992906	97.139712	97.823677
3798.0	99.618952	98.232694	97.416027	98.005417	98.041977	97.998013	97.146287	97.808768
3797.0	99.629549	98.227244	97.415882	97.9912	98.049191	98.002446	97.152189	97.790177
3796.0	99.639789	98.219452	97.417246	97.981338	98.053502	98.00554	97.152469	97.77169
3795.0	99.650574	98.212087	97.420298	97.977868	98.057733	98.006393	97.147847	97.755365
3794.0	99.660285	98.21269	97.423329	97.979243	98.062543	98.004585	97.144736	97.743783
3793.0	99.66738	98.224663	97.425419	97.98262	98.066965	98.001973	97.148067	97.740159
3792.0	99.672615	98.242573	97.426376	97.985722	98.07134	98.002217	97.156161	97.745265
3791.0	99.676767	98.255531	97.425187	97.986996	98.077084	98.007751	97.162646	97.754409
3790.0	99.678239	98.255438	97.420462	97.986848	98.083415	98.017038	97.162308	97.760582
3789.0	99.67516	98.244524	97.412802	97.988473	98.08688	98.025473	97.154807	97.760453
3788.0	99.669373	98.233949	97.405678	97.995703	98.085378	98.02936	97.143967	97.755856
3787.0	99.665543	98.234069	97.402981	98.009561	98.081128	98.028719	97.135445	97.751098
3786.0	99.666021	98.244791	97.405675	98.026334	98.078338	98.026714	97.134089	97.749512
